benchmark,dataset_size,clock_period,mem_policy,dsp_coeff,opt_level,control_steps,min_slack,frequency_mhz,states,modules_instantiated,performance_conflicts,flipflops,area_est,mux_area,total_area,registers
atax,MEDIUM,15,ALL_BRAM,1.0,O0,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25
atax,MEDIUM,15,ALL_BRAM,1.0,O2,75,0.0494726426666236,66.887272676003,73,324,17,1354,6573,443,7016,49
atax,MEDIUM,15,ALL_BRAM,1.0,O3,85,0.0494726426666236,66.887272676003,83,388,19,1709,7019,447,7466,64
atax,MEDIUM,15,ALL_BRAM,1.75,O0,31,0.0494726426666805,66.88727267600325,30,174,0,710,5655,206,5861,25
atax,MEDIUM,15,ALL_BRAM,1.75,O2,75,0.0494726426666236,66.887272676003,73,324,17,1354,6573,443,7016,49
atax,MEDIUM,15,ALL_BRAM,1.75,O3,85,0.0494726426666236,66.887272676003,83,388,19,1709,7019,447,7466,64
atax,MEDIUM,15,LSS,1.0,O0,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30
atax,MEDIUM,15,LSS,1.0,O2,76,0.0494726426666236,66.887272676003,94,321,0,1675,6739,468,7207,60
atax,MEDIUM,15,LSS,1.0,O3,88,0.0494726426666236,66.887272676003,111,385,0,2159,7185,587,7772,80
atax,MEDIUM,15,LSS,1.75,O0,34,0.0494726426666805,66.88727267600325,40,174,0,839,5923,239,6162,30
atax,MEDIUM,15,LSS,1.75,O2,76,0.0494726426666236,66.887272676003,94,321,0,1675,6739,468,7207,60
atax,MEDIUM,15,LSS,1.75,O3,88,0.0494726426666236,66.887272676003,111,385,0,2159,7185,587,7772,80
atax,SMALL,10,ALL_BRAM,1.0,O0,37,0.0363999969999984,100.3653297702541,36,146,0,646,5500,206,5706,20
atax,SMALL,10,ALL_BRAM,1.0,O2,93,0.0363999969999984,100.3653297702541,91,282,5,1316,6275,443,6718,45
atax,SMALL,10,ALL_BRAM,1.0,O3,103,0.0363999969999984,100.3653297702541,101,346,7,1671,6721,447,7168,60
atax,SMALL,10,ALL_BRAM,1.75,O0,41,0.0170666606666802,100.17095837552512,40,146,0,646,5500,206,5706,20
atax,SMALL,10,ALL_BRAM,1.75,O2,105,0.0170666606666802,100.17095837552512,103,282,5,1316,6275,443,6718,45
atax,SMALL,10,ALL_BRAM,1.75,O3,115,0.0170666606666802,100.17095837552512,113,346,7,1671,6721,447,7168,60
atax,SMALL,10,LSS,1.0,O0,40,0.0363999969999984,100.3653297702541,46,146,0,775,5768,239,6007,25
atax,SMALL,10,LSS,1.0,O2,94,0.0363999969999984,100.3653297702541,112,280,0,1637,6475,468,6943,56
atax,SMALL,10,LSS,1.0,O3,106,0.0363999969999984,100.3653297702541,129,344,0,2121,6921,587,7508,76
atax,SMALL,10,LSS,1.75,O0,44,0.0170666606666802,100.17095837552512,50,146,0,775,5768,239,6007,25
atax,SMALL,10,LSS,1.75,O2,106,0.0170666606666802,100.17095837552512,124,280,0,1637,6475,468,6943,56
atax,SMALL,10,LSS,1.75,O3,118,0.0170666606666802,100.17095837552512,141,344,0,2121,6921,587,7508,76
atax,SMALL,15,ALL_BRAM,1.0,O0,31,0.0494726426666805,66.88727267600325,30,146,0,646,5500,206,5706,20
atax,SMALL,15,ALL_BRAM,1.0,O2,75,0.0494726426666236,66.887272676003,73,280,0,1316,6207,443,6650,45
atax,SMALL,15,ALL_BRAM,1.0,O3,85,0.0494726426666236,66.887272676003,83,344,0,1671,6653,447,7100,60
atax,SMALL,15,ALL_BRAM,1.75,O0,31,0.0494726426666805,66.88727267600325,30,146,0,646,5500,206,5706,20
atax,SMALL,15,ALL_BRAM,1.75,O2,75,0.0494726426666236,66.887272676003,73,280,0,1316,6207,443,6650,45
