evaluation,target,reduction,model,rows,features_before,test_rows,mae,rmse,r2,folds,mae_std,rmse_std,r2_std
random_split,openroad_critical_path_delay,pca_5,gradient_boosting,18,66,5.0,1.6122311078837808,1.968214870228137,-1.7049137026849306,,,,
kfold,openroad_critical_path_delay,pca_5,gradient_boosting,18,66,,1.5303077733876749,1.742983322757982,-88.8845075832895,5.0,1.0173648438034035,0.9724921797992893,172.771649909129
random_split,openroad_critical_path_delay,pca_5,gaussian_process,18,66,5.0,0.907094513631554,1.0631497927582494,0.21078139563897247,,,,
kfold,openroad_critical_path_delay,pca_5,gaussian_process,18,66,,1.0581803041922535,1.159874395554893,-16.90301569545777,5.0,0.7235359182678848,0.6909570302221277,26.20756964416708
random_split,openroad_critical_path_delay,pca_10,ridge,18,66,5.0,0.8854362428685489,1.0794609485010764,0.1863787783461096,,,,
kfold,openroad_critical_path_delay,pca_10,ridge,18,66,,2.6023442614971954,3.1359131750845113,-117.49452286986272,5.0,2.3779807126163184,2.86278307342722,153.3369639204943
random_split,openroad_critical_path_delay,pca_10,random_forest,18,66,5.0,1.3158797402380953,1.5746335858680263,-0.7312804203910335,,,,
kfold,openroad_critical_path_delay,pca_10,random_forest,18,66,,1.3399966042757951,1.401328936579453,-59.63021228102324,5.0,0.6051493398960075,0.6093535420690995,120.62861530105724
random_split,openroad_critical_path_delay,pca_10,gradient_boosting,18,66,5.0,1.622523308206798,1.9521321799093891,-1.6608894886851657,,,,
kfold,openroad_critical_path_delay,pca_10,gradient_boosting,18,66,,1.5419467928686372,1.770629856711419,-91.13299897771161,5.0,0.6683097041392357,0.5999443721780354,185.29596875796565
random_split,openroad_critical_path_delay,pca_10,gaussian_process,18,66,5.0,1.0802741019267377,1.1217293268572466,0.1214134603816105,,,,
kfold,openroad_critical_path_delay,pca_10,gaussian_process,18,66,,1.3043519395591516,1.3522108612299661,-45.03154943019102,5.0,0.5927289870671033,0.5772584438218968,86.73652087319644
random_split,openroad_total_power,all_features,ridge,18,66,5.0,0.10216174653325112,0.11433407274366901,-13.280932893126376,,,,
