evaluation,target,model,reduction,use_log_transform,rows,features,test_rows,mae,rmse,r2,relative_mae,feature_mode,include_benchmark_onehot,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups
kfold,openroad_total_power,elasticnet_a0.001_l10.8,select_k_5,False,18,58,,0.03486491784128624,0.049302468106016,-73.973689086206,2.121279527249256,ratios,False,5.0,0.03183131371589414,0.05462770780783949,89.49743966862539,1.3398501541091472,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.001_l10.8,select_k_5,False,18,58,,0.023151448387403073,0.025143008796611993,-2.2951488549975863,1.8239956288174288,ratios,False,,0.04032427861595251,0.04814966189058913,,1.293770374300877,17.0
random_split,openroad_total_power,elasticnet_a0.01_l10.2,select_k_5,False,18,58,5.0,0.026265475267118504,0.039713323496921644,-0.7229699275903487,0.8090148237269297,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.01_l10.2,select_k_5,False,18,58,,0.03246582257927923,0.046402727997913076,-42.14160039662863,1.5813566212640464,ratios,False,5.0,0.034282873787379,0.05778222695051036,70.46329948438314,0.7482525978257086,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.01_l10.2,select_k_5,False,18,58,,0.022639189674730928,0.02462780930797003,-2.303288672466003,1.7197379224450102,ratios,False,,0.040460407555574236,0.048287771728415314,,1.1525713652246803,17.0
random_split,openroad_total_power,elasticnet_a0.01_l10.5,select_k_5,False,18,58,5.0,0.026026306920546048,0.039201377085126915,-0.6788344686515173,0.8016480909427106,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.01_l10.5,select_k_5,False,18,58,,0.03230800902189922,0.04672818119995764,-39.75156334477283,1.512340854579587,ratios,False,5.0,0.035792322249317665,0.06013623907741279,66.61061990394573,0.661506440078653,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.01_l10.5,select_k_5,False,18,58,,0.021629479284040534,0.023612504936540178,-2.318873503076883,1.6361089933426207,ratios,False,,0.04071152156323405,0.04854523537907004,,1.230589578774816,17.0
random_split,openroad_total_power,elasticnet_a0.01_l10.8,select_k_5,False,18,58,5.0,0.025865833553438862,0.03869612000957293,-0.6358371732931583,0.7967052779350353,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.01_l10.8,select_k_5,False,18,58,,0.033018024631504356,0.04768068636634341,-41.11993363874972,1.6086333084875215,ratios,False,5.0,0.036712517961701656,0.06207279113569884,62.84034260297408,0.7405757288900908,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.01_l10.8,select_k_5,False,18,58,,0.022143998439924283,0.024124513152511507,-2.3259124257316834,1.817608602248023,ratios,False,,0.0403898621302604,0.0482546726697733,,1.2993480267108373,17.0
random_split,openroad_total_power,elasticnet_a0.1_l10.2,select_k_5,False,18,58,5.0,0.025690854724520196,0.035984769648336565,-0.41462941520431706,0.7913156756151108,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.1_l10.2,select_k_5,False,18,58,,0.035895461519625284,0.05037266450326331,-71.64219462649609,2.088221414406027,ratios,False,5.0,0.036466761718264594,0.06318600930911432,100.87499450085777,1.3194039077465196,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.1_l10.2,select_k_5,False,18,58,,0.025369381487889277,0.0273498962004765,-2.3259124257316834,2.5297192428270416,ratios,False,,0.039074436898160904,0.047014995091894926,,1.7675437955055775,17.0
random_split,openroad_total_power,elasticnet_a0.1_l10.5,select_k_5,False,18,58,5.0,0.027253348046202126,0.032427420612132475,-0.14876194433302636,0.839442741520425,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.1_l10.5,select_k_5,False,18,58,,0.040369928366006606,0.0539014772790284,-147.47908794265192,2.864532617704094,ratios,False,5.0,0.033582145773141295,0.060588746742751574,208.50942325274775,2.045855793300777,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.1_l10.5,select_k_5,False,18,58,,0.0310012200321305,0.032981734744717724,-2.3259124257316834,3.6473819014809794,ratios,False,,0.036972519529384046,0.045020697732872685,,2.448552782507749,17.0
random_split,openroad_total_power,elasticnet_a0.1_l10.8,select_k_5,False,18,58,5.0,0.028738615384615383,0.030551078217252604,-0.019666883575921057,0.8851911348677193,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a0.1_l10.8,select_k_5,False,18,58,,0.04368140952380952,0.05659838111405886,-221.28611669957954,3.4334563540979746,ratios,False,5.0,0.03161458198824998,0.05888031015426995,315.5530631463012,2.569126154618017,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a0.1_l10.8,select_k_5,False,18,58,,0.03413738538062284,0.036117900093210066,-2.3259124257316834,4.271619234505344,ratios,False,,0.03589811770097295,0.04399286342746508,,2.8330172273265095,17.0
random_split,openroad_total_power,elasticnet_a1.0_l10.2,select_k_5,False,18,58,5.0,0.028738615384615383,0.030551078217252604,-0.019666883575921057,0.8851911348677193,ratios,False,,,,,,
kfold,openroad_total_power,elasticnet_a1.0_l10.2,select_k_5,False,18,58,,0.04368140952380952,0.05659838111405886,-221.28611669957954,3.4334563540979746,ratios,False,5.0,0.03161458198824998,0.05888031015426995,315.5530631463012,2.569126154618017,
groupkfold_by_benchmark,openroad_total_power,elasticnet_a1.0_l10.2,select_k_5,False,18,58,,0.03413738538062284,0.036117900093210066,-2.3259124257316834,4.271619234505344,ratios,False,,0.03589811770097295,0.04399286342746508,,2.8330172273265095,17.0
