evaluation,normalized_target,original_target,model,scaler,reduction,rows,features,test_rows,mae_original,rmse_original,r2_original,relative_mae_original,include_benchmark_onehot,folds,mae_original_std,rmse_original_std,r2_original_std,relative_mae_original_std,groups
groupkfold_by_benchmark,power_per_area,openroad_total_power,pls_3,robust,none,18,64,,0.04271754705705429,0.044596152179318505,-2.6361063392924606,4.765116385557382,False,,0.04204006515764786,0.04886330447703738,,3.2172303777399276,17.0
random_split,power_per_area,openroad_total_power,pls_5,robust,none,18,64,5.0,0.10847088458643794,0.12459615963000739,-15.959558543685496,3.3410609433388134,False,,,,,,
kfold,power_per_area,openroad_total_power,pls_5,robust,none,18,64,,0.0631971518273443,0.07552777477773527,-316.0171475853266,4.2715546465070595,False,5.0,0.04627007654708921,0.05456225909581326,459.4889927142704,3.3110170116979822,
groupkfold_by_benchmark,power_per_area,openroad_total_power,pls_5,robust,none,18,64,,0.037902679827464716,0.039773966283035804,-2.660371979915492,3.5064746068974184,False,,0.04478841586176929,0.05144023126298832,,2.5245253258019145,17.0
random_split,power_per_area,openroad_total_power,gpr_matern,robust,none,18,64,5.0,0.032663083930213825,0.033678889060473526,-0.23914105196603308,1.006070471576844,False,,,,,,
kfold,power_per_area,openroad_total_power,gpr_matern,robust,none,18,64,,0.03937577933299086,0.05237150076402748,-132.42967533680513,2.3697638307575515,False,5.0,0.03534724334452477,0.060536487212601,231.43895962502913,1.5304151875700374,
groupkfold_by_benchmark,power_per_area,openroad_total_power,gpr_matern,robust,none,18,64,,0.03073529157731043,0.032751048124034184,-2.229537426411031,3.1711157103416303,False,,0.037011343268529784,0.04503779933683927,,1.7690763657286281,17.0
random_split,power_per_area,openroad_total_power,gpr_rbf,robust,none,18,64,5.0,0.032819436176408555,0.03374130753949855,-0.24373841105616356,1.010886348069012,False,,,,,,
kfold,power_per_area,openroad_total_power,gpr_rbf,robust,none,18,64,,0.039495128734193904,0.05247312222001138,-135.00661280141006,2.3874192160128738,False,5.0,0.03532105635138549,0.06047896973666117,236.57541267528418,1.552923843685533,
groupkfold_by_benchmark,power_per_area,openroad_total_power,gpr_rbf,robust,none,18,64,,0.030999926002171968,0.03301568254889572,-2.229537426411031,3.2197327555378656,False,,0.036919704427814476,0.04494991497913018,,1.793677485321034,17.0
random_split,power_per_area,openroad_total_power,gpr_rq,robust,none,18,64,5.0,0.05912156131946202,0.10422329306015618,-10.866832508715113,1.8210300412573772,False,,,,,,
kfold,power_per_area,openroad_total_power,gpr_rq,robust,none,18,64,,0.045040739824474076,0.06757400871909136,-82.3739176899718,2.24570183193806,False,5.0,0.03946550630781326,0.06633981624714264,106.80403356495364,0.8689657270008712,
groupkfold_by_benchmark,power_per_area,openroad_total_power,gpr_rq,robust,none,18,64,,0.02735617103100438,0.029371927577728135,-2.229537426411031,2.234389276363933,False,,0.042428149475046126,0.0497311382406788,,2.3536521839052433,17.0
random_split,power_per_area,openroad_total_power,ridge_a0.1,robust,select_k_5,18,64,5.0,0.0254734961623354,0.037382267607368604,-0.5266395691943473,0.7846207158977205,False,,,,,,
kfold,power_per_area,openroad_total_power,ridge_a0.1,robust,select_k_5,18,64,,0.03190936788203378,0.04483036049932147,-40.853653322366185,1.5653312286927505,False,5.0,0.03378065212891903,0.055723873977944614,68.70174954650285,0.7694352588633264,
groupkfold_by_benchmark,power_per_area,openroad_total_power,ridge_a0.1,robust,select_k_5,18,64,,0.02417377678490962,0.026077693969004,-2.5543471970356353,1.8560857321755893,False,,0.0428063638541942,0.05025202124347708,,1.059828683541572,17.0
random_split,power_per_area,openroad_total_power,ridge_a1,robust,select_k_5,18,64,5.0,0.024789507541990604,0.035718817512142516,-0.39379652157331946,0.7635528719888682,False,,,,,,
kfold,power_per_area,openroad_total_power,ridge_a1,robust,select_k_5,18,64,,0.03096512595032267,0.043645488608957304,-43.8301587543567,1.4143456357993376,False,5.0,0.03447369928807478,0.056426854895668885,85.68146097483803,0.9187152404258143,
groupkfold_by_benchmark,power_per_area,openroad_total_power,ridge_a1,robust,select_k_5,18,64,,0.023453297233726193,0.02537220116037576,-2.507470423283793,1.7438268381930353,False,,0.04228680787185528,0.049831336733177446,,0.977396105012085,17.0
random_split,power_per_area,openroad_total_power,ridge_a10,robust,select_k_5,18,64,5.0,0.019776033936531136,0.027223586463749363,0.19035263173026373,0.6091305962092999,False,,,,,,
kfold,power_per_area,openroad_total_power,ridge_a10,robust,select_k_5,18,64,,0.029914353465944083,0.04236967136531794,-59.5644956505839,1.469769684823501,False,5.0,0.034421766454114676,0.056320701689749876,120.2059293031954,1.0749345567939161,
groupkfold_by_benchmark,power_per_area,openroad_total_power,ridge_a10,robust,select_k_5,18,64,,0.02527682702977127,0.02722400731314023,-2.4219821867339184,2.0243403343668844,False,,0.04062753051171221,0.048337495957008994,,1.0100000024726647,17.0
random_split,power_per_area,openroad_total_power,elasticnet_a0.001_l10.2,robust,select_k_5,18,64,5.0,0.04465546913842196,0.05213823785175393,-1.969736579468596,1.3754533708625007,False,,,,,,
kfold,power_per_area,openroad_total_power,elasticnet_a0.001_l10.2,robust,select_k_5,18,64,,0.04151347219056791,0.05474070722637645,-150.36506413388776,2.5414938245058787,False,5.0,0.03230363115353932,0.05431034157815857,266.21792980440154,1.6164498721976777,
groupkfold_by_benchmark,power_per_area,openroad_total_power,elasticnet_a0.001_l10.2,robust,select_k_5,18,64,,0.03197319768869824,0.03398895423542199,-2.229537426411031,3.384876379428579,False,,0.03664878758164061,0.044681035355099125,,1.8718003935466248,17.0
