evaluation,target,feature_set,include_benchmark_onehot,model,scaler,reduction,rows,features,test_rows,mae,rmse,r2,relative_mae,folds,mae_std,rmse_std,r2_std,relative_mae_std,groups,error
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.2,robust,select_k_10,18.0,33.0,,8560.267255273637,8560.267255273637,0.0,0.274001871444322,,5523.60738999468,5523.60738999468,,0.32098785160378535,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.5,robust,select_k_10,18.0,33.0,5.0,14582.797865826957,19632.80547519645,-0.600484853650507,0.2807991307400342,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.5,robust,select_k_10,18.0,33.0,,8813.316638810209,11163.532861601732,-1.5083546161820254,0.21446888798805372,5.0,3670.376783764035,4957.3664911102205,3.652858158271964,0.06975949405890758,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.5,robust,select_k_10,18.0,33.0,,8991.445581249596,8991.445581249596,0.0,0.297952271803853,,5846.721595877679,5846.721595877679,,0.37819312177343606,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.8,robust,select_k_10,18.0,33.0,5.0,15842.511028507026,20940.994507959844,-0.8208805090995839,0.30505554328287404,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.8,robust,select_k_10,18.0,33.0,,10665.443407104829,13299.046676145892,-1.9182401800412556,0.2827889223044432,5.0,4369.752127962899,6160.971651584241,3.6434754935004205,0.18162997172687342,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a0.1_l10.8,robust,select_k_10,18.0,33.0,,9935.652869318717,9935.652869318717,0.0,0.3542551554277314,,7058.444866670351,7058.444866670351,,0.5290884939027144,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.2,robust,select_k_10,18.0,33.0,5.0,11285.986563904538,15772.34855024413,-0.03295064987074747,0.21731736569664015,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.2,robust,select_k_10,18.0,33.0,,9072.448564854443,11076.200090958908,-1.4539668574795133,0.22740456721681973,5.0,2897.5378190862357,4004.3439940605085,3.4613707672668834,0.08302211920694544,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.2,robust,select_k_10,18.0,33.0,,7306.652172272695,7306.652172272695,0.0,0.21173743367958903,,5460.443413646489,5460.443413646489,,0.22707011503083926,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.5,robust,select_k_10,18.0,33.0,5.0,11908.489674416178,16569.425828284307,-0.13999188545396013,0.2293039771770238,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.5,robust,select_k_10,18.0,33.0,,8834.234574034574,10850.188367386163,-1.4422580965021325,0.21755565550949454,5.0,3167.970501929395,4359.579088791894,3.540064274099446,0.06888563595093332,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.5,robust,select_k_10,18.0,33.0,,7446.623413603908,7446.623413603908,0.0,0.21693720198820596,,5284.691544347531,5284.691544347531,,0.22122400665633024,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.8,robust,select_k_10,18.0,33.0,5.0,12997.960343970113,17922.270390109596,-0.33374526840398366,0.25028228461790253,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.8,robust,select_k_10,18.0,33.0,,8352.392591202099,10293.070397592897,-1.3959724932119364,0.198308084541126,5.0,3851.345172641363,5182.199024475201,3.6175139669306535,0.06002344580144041,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,elasticnet_a1.0_l10.8,robust,select_k_10,18.0,33.0,,7913.612307343007,7913.612307343007,0.0,0.2386780002460188,,5189.503606270652,5189.503606270652,,0.24603907509272,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,gpr_matern,robust,select_k_10,18.0,33.0,5.0,14304.578449362027,20297.55151492745,-0.7107011448975986,0.2754418754988143,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,gpr_matern,robust,select_k_10,18.0,33.0,,10211.335097044243,13083.927560818307,-0.46134499230804327,0.27892303460228374,5.0,7294.673755413035,9466.183606477309,0.8845355496863684,0.2680048260584354,,
groupkfold_by_benchmark,openroad_synth_chip_area,hls_plus_yosys,False,gpr_matern,robust,select_k_10,18.0,33.0,,11265.158402646091,11265.158402646091,0.0,0.3970115399637624,,10830.721717939805,10830.721717939805,,0.6835422801725539,17.0,
random_split,openroad_synth_chip_area,hls_plus_yosys,False,gpr_rbf,robust,select_k_10,18.0,33.0,5.0,14298.433228225607,20333.043816233432,-0.7166890400451775,0.2753235461652263,,,,,,,
kfold,openroad_synth_chip_area,hls_plus_yosys,False,gpr_rbf,robust,select_k_10,18.0,33.0,,10109.644897061602,13116.022148235099,-0.46682875464788537,0.2771152956789681,5.0,7168.192041321633,9428.008542309011,0.8780293822880905,0.2676569366986958,,
