experiment,evaluation,target,model,feature_set,reduction,scaler,benchmark_onehot,mae,rmse,r2,relative_mae,rows,features,normalized_target
feature_engineering,random_split,openroad_critical_path_delay,random_forest,select_k_10,select_k_10,standard,,0.8578027715476191,0.9647155238289176,0.3501592659270718,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,random_forest,select_k_10,select_k_10,standard,,1.3409773024137197,1.4340062131357685,-83.63898211985007,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gradient_boosting,select_k_10,select_k_10,standard,,1.2656219818827084,1.7436378780726791,-1.1228582036216035,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gradient_boosting,select_k_10,select_k_10,standard,,1.323302959591457,1.554841798076741,-82.76558299573783,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gaussian_process,select_k_10,select_k_10,standard,,1.0484682854921417,1.0956128144985569,0.1618483524069488,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gaussian_process,select_k_10,select_k_10,standard,,1.2300312278244907,1.451580449298341,-34.430551769898415,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,ridge,select_k_15,select_k_15,standard,,0.9558905832455462,1.220335368938665,-0.0398406565831095,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,ridge,select_k_15,select_k_15,standard,,3.455244407729426,4.414858599689243,-201.96922478267388,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,random_forest,select_k_15,select_k_15,standard,,0.8781607144047612,1.0040293405415623,0.2961158186695619,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,random_forest,select_k_15,select_k_15,standard,,1.303974577910053,1.3788962312791226,-77.99390731739535,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gradient_boosting,select_k_15,select_k_15,standard,,0.8435261631494256,0.9982591432982793,0.3041830721878936,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gradient_boosting,select_k_15,select_k_15,standard,,1.0498774116889684,1.2938941205087748,-70.79953650847257,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gaussian_process,select_k_15,select_k_15,standard,,1.1081081427263195,1.2888429264815036,-0.1598675050505371,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gaussian_process,select_k_15,select_k_15,standard,,1.1655312219852232,1.244429511225491,-23.01559525462062,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,ridge,pca_3,pca_3,standard,,0.8771949222342782,1.145871773431918,0.0831876822532768,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,ridge,pca_3,pca_3,standard,,1.6839578106211204,1.7696159842316863,-90.98311291203102,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,random_forest,pca_3,pca_3,standard,,1.136537491111111,1.3268653177900267,-0.229311888259871,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,random_forest,pca_3,pca_3,standard,,1.3148008883928568,1.3891394858610815,-67.48670622509164,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gradient_boosting,pca_3,pca_3,standard,,0.8073851310339428,1.2111651370139458,-0.0242715719128372,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gradient_boosting,pca_3,pca_3,standard,,1.269919995995123,1.5023009476514768,-88.11773590829883,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gaussian_process,pca_3,pca_3,standard,,0.9457697674286492,1.1359900053080063,0.0989323097308289,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gaussian_process,pca_3,pca_3,standard,,1.177161420951678,1.2746325945775354,-25.36452854087597,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,ridge,pca_5,pca_5,standard,,1.249635818370708,1.3326197762981185,-0.2399977713923824,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,ridge,pca_5,pca_5,standard,,2.6024471122930923,2.8917778485496366,-121.96908517262564,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,random_forest,pca_5,pca_5,standard,,1.4054791589682536,1.767550999038355,-1.1814853626425514,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,random_forest,pca_5,pca_5,standard,,1.355974915049603,1.4342458042621202,-63.349219377066845,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gradient_boosting,pca_5,pca_5,standard,,1.6122311078837808,1.968214870228137,-1.7049137026849306,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gradient_boosting,pca_5,pca_5,standard,,1.5303077733876749,1.742983322757982,-88.8845075832895,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gaussian_process,pca_5,pca_5,standard,,0.907094513631554,1.0631497927582494,0.2107813956389724,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gaussian_process,pca_5,pca_5,standard,,1.0581803041922535,1.159874395554893,-16.90301569545777,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,ridge,pca_10,pca_10,standard,,0.8854362428685489,1.0794609485010764,0.1863787783461096,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,ridge,pca_10,pca_10,standard,,2.6023442614971954,3.1359131750845117,-117.49452286986272,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,random_forest,pca_10,pca_10,standard,,1.3158797402380953,1.5746335858680265,-0.7312804203910335,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,random_forest,pca_10,pca_10,standard,,1.3399966042757951,1.401328936579453,-59.63021228102324,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gradient_boosting,pca_10,pca_10,standard,,1.622523308206798,1.9521321799093887,-1.6608894886851655,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gradient_boosting,pca_10,pca_10,standard,,1.5419467928686372,1.770629856711419,-91.1329989777116,,18.0,66.0,
feature_engineering,random_split,openroad_critical_path_delay,gaussian_process,pca_10,pca_10,standard,,1.0802741019267377,1.1217293268572466,0.1214134603816105,,18.0,66.0,
feature_engineering,kfold,openroad_critical_path_delay,gaussian_process,pca_10,pca_10,standard,,1.3043519395591516,1.352210861229966,-45.03154943019102,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,ridge,all_features,all_features,standard,,0.1021617465332511,0.114334072743669,-13.280932893126376,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,ridge,all_features,all_features,standard,,0.0572091259745101,0.0680383006250552,-166.92920518263446,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,random_forest,all_features,all_features,standard,,0.0542106768968253,0.0566556764287649,-2.5066473167096786,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,random_forest,all_features,all_features,standard,,0.0439230386891534,0.0563477386351435,-230.0242704989741,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gradient_boosting,all_features,all_features,standard,,0.1263871360372139,0.1498007491029236,-23.515073559688965,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gradient_boosting,all_features,all_features,standard,,0.0507945684506461,0.0665479958818575,-66.9153379061634,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gaussian_process,all_features,all_features,standard,,0.0286915051988892,0.0304878362329551,-0.0154497484226974,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gaussian_process,all_features,all_features,standard,,0.0436765292088364,0.0565908486948357,-221.2907343935035,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,ridge,select_k_5,select_k_5,standard,,0.0301261845477493,0.0461023727141986,-1.321944235453357,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,ridge,select_k_5,select_k_5,standard,,0.0277169795631352,0.0419986765001341,-19.1196002627319,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,random_forest,select_k_5,select_k_5,standard,,0.0289668623076923,0.0304135899773841,-0.0105099724925332,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,random_forest,select_k_5,select_k_5,standard,,0.0444098944910714,0.0587602038363562,-302.0111810068396,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gradient_boosting,select_k_5,select_k_5,standard,,0.0345229608917867,0.0539759601872137,-2.182775336921065,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gradient_boosting,select_k_5,select_k_5,standard,,0.030015597250043,0.046959181344632,-33.63200296727089,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gaussian_process,select_k_5,select_k_5,standard,,0.022217227280069,0.0338552566366249,-0.2521531518170725,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gaussian_process,select_k_5,select_k_5,standard,,0.0318116247419425,0.0481393497044027,-91.1786189577604,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,ridge,select_k_10,select_k_10,standard,,0.0301655497071645,0.0461652112541935,-1.3282782705461704,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,ridge,select_k_10,select_k_10,standard,,0.0290730319832963,0.0444140776162753,-30.995116409339325,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,random_forest,select_k_10,select_k_10,standard,,0.0289668623076923,0.0304135899773841,-0.0105099724925332,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,random_forest,select_k_10,select_k_10,standard,,0.0418315128224206,0.055458522033443,-236.34953136519167,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gradient_boosting,select_k_10,select_k_10,standard,,0.0460368346361053,0.077059704514923,-5.4872391630485176,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gradient_boosting,select_k_10,select_k_10,standard,,0.035327942035237,0.0556965591974571,-104.67036310772042,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gaussian_process,select_k_10,select_k_10,standard,,0.0222172270061417,0.0338552563138171,-0.252153127938663,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gaussian_process,select_k_10,select_k_10,standard,,0.0341540648043432,0.0483203050083282,-125.77434081067943,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,ridge,select_k_15,select_k_15,standard,,0.0430835638081593,0.0536500329343747,-2.14445378588538,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,ridge,select_k_15,select_k_15,standard,,0.0460081989004441,0.0683732713838655,-240.16126539263436,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,random_forest,select_k_15,select_k_15,standard,,0.0630559448690475,0.0668459288060332,-3.8815209173659433,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,random_forest,select_k_15,select_k_15,standard,,0.0448894051749338,0.058052433354304,-279.1592563577749,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gradient_boosting,select_k_15,select_k_15,standard,,0.0661108454672762,0.0946538558281986,-8.787727072831022,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gradient_boosting,select_k_15,select_k_15,standard,,0.0427306873587397,0.0624362751520848,-149.70821060307162,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gaussian_process,select_k_15,select_k_15,standard,,0.0271428917855066,0.033382678365597,-0.2174400560430958,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gaussian_process,select_k_15,select_k_15,standard,,0.0368861362958926,0.0493841686923732,-149.21865820394186,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,ridge,pca_3,pca_3,standard,,0.0965891425372824,0.1065585840721262,-11.404581378300817,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,ridge,pca_3,pca_3,standard,,0.0774781928357116,0.0956819517225479,-1050.0213648829897,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,random_forest,pca_3,pca_3,standard,,0.0501562967738094,0.0565671458802938,-2.4956968567475672,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,random_forest,pca_3,pca_3,standard,,0.0428856960436507,0.0561405524867393,-170.94132230825917,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gradient_boosting,pca_3,pca_3,standard,,0.1144429545424241,0.137632322563844,-19.69407924854459,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gradient_boosting,pca_3,pca_3,standard,,0.0497865478631231,0.0640482226943114,-35.388526112858294,,18.0,66.0,
feature_engineering,random_split,openroad_total_power,gaussian_process,pca_3,pca_3,standard,,0.0458788362168269,0.0661920222076705,-3.786483090397152,,18.0,66.0,
feature_engineering,kfold,openroad_total_power,gaussian_process,pca_3,pca_3,standard,,0.0457619162655791,0.0616838927007566,-186.0077036814721,,18.0,66.0,
